Neural Network is started!
Basic information can be given by...
Input Layer Node: 2 Hidden Layer Node :6 Output Layer Node: 1
Training neural network is started in five seconds
Error: 0.0071714 Iteration: 760 Jacobian Check: 19.9729 Mu: 0.10877
Error: 0.0068419 Iteration: 770 Jacobian Check: 67.6984 Mu: 0.09837
Error: 0.0065305 Iteration: 780 Jacobian Check: 229.234 Mu: 0.088964
Error: 0.0062354 Iteration: 790 Jacobian Check: 778.941 Mu: 0.080457
Error: 0.0059547 Iteration: 800 Jacobian Check: 2665.9082 Mu: 0.072764
Error: 0.0056864 Iteration: 810 Jacobian Check: 9216.018 Mu: 0.065807
Error: 0.0054289 Iteration: 820 Jacobian Check: 32251.6096 Mu: 0.059514
Error: 0.0051804 Iteration: 830 Jacobian Check: 114449.037 Mu: 0.053824
Error: 0.0049398 Iteration: 840 Jacobian Check: 412411.3767 Mu: 0.048677
Error: 0.004706 Iteration: 850 Jacobian Check: 1510825.4554 Mu: 0.044023
Error: 0.0044783 Iteration: 860 Jacobian Check: 5632188.4808 Mu: 0.039813
Error: 0.0042563 Iteration: 870 Jacobian Check: 21380601.6257 Mu: 0.036006
Error: 0.0040399 Iteration: 880 Jacobian Check: 82680153.0311 Mu: 0.032564
Error: 0.0038295 Iteration: 890 Jacobian Check: 325697794.5334 Mu: 0.02945
Error: 0.0036252 Iteration: 900 Jacobian Check: 1306407076.7513 Mu: 0.026634
Error: 0.0034278 Iteration: 910 Jacobian Check: 5331375736.0033 Mu: 0.024087
Error: 0.0032377 Iteration: 920 Jacobian Check: 22110128106.2392 Mu: 0.021784
Error: 0.0030554 Iteration: 930 Jacobian Check: 93047667379.7895 Mu: 0.019701
Error: 0.0028815 Iteration: 940 Jacobian Check: 396706040599.9028 Mu: 0.017817
Error: 0.0027163 Iteration: 950 Jacobian Check: 1710525852587.254 Mu: 0.016114
Error: 0.0025598 Iteration: 960 Jacobian Check: 7446423715728.447 Mu: 0.014573
Error: 0.0024121 Iteration: 970 Jacobian Check: 32677102946365.28 Mu: 0.01318
Error: 0.0022729 Iteration: 980 Jacobian Check: 144358215527134.5 Mu: 0.011919
Error: 0.002142 Iteration: 990 Jacobian Check: 641360270104904.6 Mu: 0.01078
Error: 0.0020189 Iteration: 1000 Jacobian Check: 2863766992500588 Mu: 0.0097489
Error: 0.0019032 Iteration: 1010 Jacobian Check: 1.284725842982907e+16 Mu: 0.0088167
Error: 0.0017942 Iteration: 1020 Jacobian Check: 5.790422942790197e+16 Mu: 0.0079737
Error: 0.0016915 Iteration: 1030 Jacobian Check: 2.622495322097905e+17 Mu: 0.0072113
Error: 0.0015947 Iteration: 1040 Jacobian Check: 1.193804226569376e+18 Mu: 0.0065217
Error: 0.0015032 Iteration: 1050 Jacobian Check: 5.46310406778461e+18 Mu: 0.0058982
Error: 0.0014169 Iteration: 1060 Jacobian Check: 2.513052000622664e+19 Mu: 0.0053342
Error: 0.0013353 Iteration: 1070 Jacobian Check: 1.161492819508346e+20 Mu: 0.0048241
Error: 0.0012583 Iteration: 1080 Jacobian Check: 5.388523444857519e+20 Mu: 0.0043629
Error: 0.0011858 Iteration: 1090 Jacobian Check: 2.505703805785875e+21 Mu: 0.0039457
